Time_s	Heading_deg	Pitch_rad	Roll_rad	Yaw_rad	Lat	Long	Alt_m_AGL
1535745489.3	59.0	-0.0332656688988	-0.00751281576231	1.03691732883	34.9090867	-111.4387446	-2.06
1535745489.41	59.0	-0.0332817398012	-0.00752506870776	1.03703641891	34.9090867	-111.4387446	-2.06
1535745489.5	59.0	-0.0333000384271	-0.00750904995948	1.03714203835	34.9090866	-111.4387446	-2.06
1535745489.6	59.0	-0.0333159156144	-0.00747710093856	1.03723883629	34.9090866	-111.4387446	-2.06
1535745489.71	59.0	-0.0332905575633	-0.00748499529436	1.03733980656	34.9090866	-111.4387446	-2.06
1535745489.81	59.0	-0.0333227179945	-0.00746374763548	1.03742313385	34.9090865	-111.4387445	-2.06
1535745489.9	59.0	-0.0333269946277	-0.00743963755667	1.0375264883	34.9090865	-111.4387445	-2.06
1535745490.01	59.0	-0.0333997346461	-0.00741867069155	1.03761672974	34.9090865	-111.4387445	-2.06
1535745490.1	59.0	-0.0334043651819	-0.00740026496351	1.03772819042	34.9090865	-111.4387445	-2.06
1535745490.21	59.0	-0.0334511063993	-0.00741113862023	1.03784370422	34.9090865	-111.4387445	-2.07
1535745490.3	59.0	-0.0334417074919	-0.00739837717265	1.03794753551	34.9090864	-111.4387444	-2.07
1535745490.4	59.0	-0.0334521122277	-0.00737447291613	1.0380603075	34.9090864	-111.4387445	-2.08
1535745490.51	59.0	-0.0333752632141	-0.00736151728779	1.03813958168	34.9090863	-111.4387444	-2.08
1535745490.61	59.0	-0.0334042534232	-0.00737974699587	1.0382630825	34.9090863	-111.4387444	-2.08
1535745490.7	59.0	-0.0333403460681	-0.00738311838359	1.03835701942	34.9090863	-111.4387444	-2.08
1535745490.8	59.0	-0.0333837084472	-0.00741835311055	1.03849029541	34.9090863	-111.4387443	-2.09
1535745490.91	59.0	-0.0333905145526	-0.00744557799771	1.03860974312	34.9090862	-111.4387443	-2.09
1535745491.01	59.0	-0.0334446914494	-0.00747672934085	1.0387096405	34.9090862	-111.4387443	-2.09
1535745491.1	59.0	-0.0335007123649	-0.00754881836474	1.03883361816	34.9090863	-111.4387443	-2.09
1535745491.21	59.0	-0.0334837622941	-0.0075921388343	1.03892672062	34.9090863	-111.4387443	-2.09
1535745491.3	59.0	-0.0335213951766	-0.00756665738299	1.0390304327	34.9090863	-111.4387443	-2.09
1535745491.4	59.0	-0.0335134230554	-0.00760963000357	1.03915190697	34.9090863	-111.4387443	-2.09
1535745491.51	59.0	-0.0335746183991	-0.00766937620938	1.03927052021	34.9090863	-111.4387442	-2.08
1535745491.6	59.0	-0.033574115485	-0.00771721918136	1.03936123848	34.9090863	-111.4387442	-2.08
1535745491.7	59.0	-0.0335509441793	-0.00775126228109	1.03946220875	34.9090863	-111.4387442	-2.08
1535745491.81	59.0	-0.0335692763329	-0.00776541605592	1.03957009315	34.9090863	-111.4387442	-2.07
1535745491.91	59.0	-0.0335861295462	-0.00776415970176	1.03966450691	34.9090863	-111.4387443	-2.07
1535745492.0	59.0	-0.0335684977472	-0.00776726333424	1.03976905346	34.9090863	-111.4387443	-2.07
1535745492.11	59.0	-0.0335349999368	-0.00775394774973	1.03986144066	34.9090862	-111.4387443	-2.07
1535745492.21	59.0	-0.0335026942194	-0.00774000585079	1.03995001316	34.9090862	-111.4387443	-2.07
1535745492.3	59.0	-0.0335284993052	-0.00776913063601	1.04007995129	34.9090862	-111.4387442	-2.07
1535745492.4	59.0	-0.0335142239928	-0.00778204901144	1.04017555714	34.9090862	-111.4387443	-2.06
